profile_id,u_q,coolant,u_d,motor_speed,i_d,i_q,ambient
15.0,131.792984,18.64687347,-3.877305984,3999.959229,-67.77452087,1.104694724,24.42241096
23.0,3.38310051,22.68049431,-130.7771606,3499.964355,-222.5126648,114.6779785,23.19501495
6.0,88.49862671,18.17640305,-95.16789246,4999.944336,-139.1143036,53.29669952,23.10082436
4.0,24.44951439,18.73445129,0.240772516,500.0057068,-1.999864936,1.096400142,25.35179901
6.0,24.58338165,18.26230431,-13.09870243,499.9711304,-15.49331093,70.79434204,25.76277924
80.0,-2.141967122,46.19624246,0.989546762,0.006043192,-2.00122574,1.096896914,23.53425141
12.0,96.26661682,18.9904213,-1.007501364,1999.977173,-1.998870492,1.097048759,23.29006195
4.0,127.8396454,19.3026371,-8.311933517,5999.929199,-121.7760391,0.033360224,23.36265182
70.0,-1.891915754,28.63426807,0.09127974,-0.002009863,-2.001226491,1.097386971,25.91253152
30.0,55.70289993,18.73534012,-77.50134277,1449.985596,-65.980896,172.9998932,21.29927254
6.0,24.5168438,18.27565384,-13.20397568,499.9960632,-15.49462223,70.79563141,26.16576576
9.0,85.54537201,18.84182739,-100.3404999,2499.969727,-75.66912842,123.3981934,24.8006897
9.0,85.5009613,18.91545677,,,-75.83647156,123.370285,24.87885094
75.0,-2.028952951,28.19974476,0.478398276,-0.002800937,-2.000730351,1.097383365,25.12765139
29.0,31.16994095,19.03563309,-127.5971832,4229.959961,-190.0968628,89.2358551,23.34882736
20.0,17.36332512,18.56769753,-129.835495,4499.956055,-201.8310699,84.5090332,24.82131195
51.0,39.90520366,65.65338764,-119.7669742,4919.783095,-180.917602,70.54999749,27.48607888
61.0,119.8257851,39.41858494,-46.69509588,5706.873866,-118.4046719,19.54351621,27.9716004
19.0,56.41106415,19.09509659,-117.1102524,5999.94043,-168.2578583,52.47027969,26.14146233
16.0,31.05298042,18.49495125,-40.83047485,749.9786987,-65.97945404,173.0003662,23.88593102
68.0,29.86103926,69.3261011,4.833515954,683.4969027,-4.16980525,-18.62998485,27.87716812
65.0,78.10527253,24.80539637,102.4742582,3578.737345,-116.4869197,-95.12329102,25.71808389
7.0,24.56288147,18.30102539,0.412513226,499.9910889,-2.000384569,1.096693277,23.02090454
29.0,78.86599731,18.96871185,-38.72597885,1694.982178,-13.55558491,64.15364075,23.17491341
53.0,62.26340279,19.45876814,-60.00970127,1470.007781,-39.62111502,123.6685308,26.38388932
10.0,63.14670944,19.40997505,-114.2444839,3999.961182,-156.1533661,85.78404999,19.87395859
21.0,131.3991852,18.84615898,-5.405721188,4499.95459,-80.8336792,1.040500879,22.63676453
2.0,8.78645134,18.7149086,-9.807538033,100.0024796,-122.9725952,242.4229431,21.91427803
70.0,-0.502437688,23.48306966,3.304783603,0.00138531,-2.001443708,1.096416199,26.34598989
62.0,1.206578169,28.22197367,0.334581921,-0.004233678,-2.001371732,1.096609983,24.23322407
54.0,79.24270306,40.90596992,40.54375432,1835.124409,-12.3816646,-63.01027581,26.78158451
2.0,4.125991821,18.76005173,1.522075772,100.0100555,-1.999772429,1.098721981,22.51480103
61.0,22.67963038,28.49246102,-10.59501868,456.5222734,-12.61586588,61.30778895,26.68502004
62.0,1.129505592,28.23667668,0.352463899,-0.002866789,-2.000570395,1.096656492,24.04504729
10.0,7.909967899,19.31490326,131.2063141,3994.421387,-216.0455017,-119.6479187,22.47230721
21.0,131.2915497,18.56933594,-5.284888268,4499.957031,-84.78132629,1.048911333,22.56325531
9.0,85.50193787,18.67305374,-100.3809433,2499.962646,-75.68707275,123.3952103,24.90649033
27.0,50.10593414,18.44141769,-61.42530441,1249.976563,-52.04323959,150.3409729,23.59952545
70.0,2.518524705,50.4707836,24.02414967,389.936169,-125.9950138,-259.0969211,26.22954155
30.0,30.93287086,18.4818058,,,-39.04053497,120.3038177,20.55727005
31.0,30.43077087,18.65872955,-127.5217438,4749.955566,-191.1612701,77.86251068,21.34949684
6.0,3.920177698,19.88873482,1.420989871,100.0600891,-1.999561667,1.097902298,26.33787155
53.0,109.1182803,49.88317762,-72.33756694,2596.306995,-28.41143462,81.20880245,27.80193091
61.0,27.90843759,29.12379888,-4.342369721,570.8583221,-3.946344552,18.2233252,26.65868035
,4.134143353,18.47986031,1.494646192,100.02034,-2.001394272,,22.60474014
49.0,92.38801559,49.83411139,86.49676651,2404.044845,-30.84686691,-109.3373874,26.35561818
53.0,19.5603139,39.69457821,5.715832582,464.8911306,-4.576629432,-33.01206923,27.61083054
26.0,131.7920532,18.55350304,-3.025700092,3499.962891,-46.31023407,1.173604488,23.42253876
36.0,4.020978451,19.33961487,-0.518437445,59.97673416,-2.979389668,15.77387524,19.39413452
27.0,30.15373421,18.88058662,-126.9119415,5849.937012,-192.0798645,59.91458893,24.67762947
15.0,131.8045807,18.89466476,-3.894988537,3999.955811,-67.997612,1.104831934,23.9816761
76.0,73.92793884,79.01925806,-104.5814453,4681.919768,-144.1589156,64.14971325,26.33000717
7.0,23.62988091,18.76476669,,,-43.51275253,132.6174927,22.92424965
6.0,86.00844574,65.11878204,-98.74362946,4999.943848,-132.3741302,54.1921463,26.3372612
3.0,4.172736645,18.50879097,1.432989717,99.97789764,-1.998770237,1.09936893,21.87480164
10.0,72.69217682,18.61173058,-107.0294342,5251.374023,-157.1070251,57.60847473,21.49489784
9.0,119.575943,18.67759705,,,-2.001354933,1.097367883,26.07801247
16.0,31.13033867,18.24291039,-40.76408386,749.9885254,-65.97966003,173.000351,24.81694603
53.0,96.13365314,61.21639152,87.06475161,2837.684425,-53.2892678,-95.13840977,27.96417812
6.0,86.29515076,65.09257507,-98.53031921,4999.944824,-132.5913849,54.18785095,26.38256454
13.0,13.67107773,18.81933022,-11.62925053,249.9980316,-43.51286316,132.6176758,22.93748856
6.0,67.97599792,19.19626045,113.2863007,2499.970703,-91.90140533,-149.3341675,25.69287491
32.0,27.59235764,19.54164886,-128.2422638,3779.967041,-193.9831543,102.7554626,19.81213379
29.0,28.95820808,19.66337395,-127.8128891,4149.958008,-194.690918,92.56624603,19.85062027
75.0,51.45816247,28.34019283,119.1182643,3246.207168,-146.3207816,-125.7479977,25.27822089
53.0,22.41714935,49.76469757,-11.84189136,454.2260046,-18.82143834,77.51337858,27.77716742
61.0,109.3314711,39.34012954,-67.13720211,4848.214849,-111.8097035,36.55815065,27.56979844
23.0,131.8095093,23.21809387,-3.191511869,3499.963867,-41.44787598,1.163119674,23.93135834
55.0,34.58708021,34.81012127,-45.04648493,848.7232166,-65.20361934,170.5584947,24.02993555
55.0,86.84412273,93.41910813,-96.60840276,4415.640641,-126.1060505,62.79269524,25.80163257
13.0,13.66645718,18.86664581,-11.62270641,249.9785156,-43.51166534,132.6173248,23.17914009
15.0,15.64171028,19.03941727,-130.0438385,3999.952148,-203.8068848,96.71420288,24.73654556
23.0,131.7419281,23.06669044,-2.956061125,3499.96167,-44.84104538,1.169166803,23.37218475
4.0,78.4185791,19.22406006,-102.109581,5999.935547,-157.6443024,46.59679413,24.75473213
20.0,51.37902832,18.4191227,-59.04551697,1249.980713,-50.72866821,146.703537,23.93604088
17.0,130.3874359,18.30552864,-6.12998867,4999.942383,-98.04844666,0.634642422,23.77254295
4.0,128.2865143,18.23193741,-8.630996704,5999.926758,-118.4064484,0.196641505,23.57242775
56.0,-1.967788363,24.4471124,-130.8396248,3460.79852,-233.6944737,117.3569782,26.38452562
62.0,0.557209484,27.56612324,-0.581012025,0.001484383,-2.001363941,1.096081921,23.88620946
68.0,1.303830849,54.00708042,1.026592083,0.051689023,-2.000720279,1.0970233,26.38450904
26.0,131.7745667,18.54250336,,,-45.9740715,1.170914888,23.90083885
80.0,104.5495664,59.25349848,76.79267703,3867.938523,-86.8496283,-62.78645528,25.10847254
53.0,81.26580266,39.2639306,102.988169,3934.420826,-119.3238359,-85.26336295,26.47174924
6.0,86.57939911,49.66912842,-97.91073608,4999.943359,-134.2733765,53.98097229,24.78616714
64.0,113.6383656,50.47527684,-62.59648561,3493.880221,-68.06152304,50.09277035,25.30256191
76.0,-2.202806832,91.11292524,0.837101193,-0.004977609,-1.999380427,1.098518035,27.24818105
18.0,4.163965225,18.28943062,1.447199106,99.99182892,-2.000874758,1.097536802,22.49507332
54.0,83.16462409,56.07457234,98.49551801,4840.276329,-133.8755119,-69.20026071,26.38869433
17.0,87.09482574,19.60172272,-96.40298462,4999.951172,-138.3600464,53.42052841,24.65853882
76.0,0.691909621,28.03408715,-0.359722978,0.002698683,-2.000322616,1.097846372,26.38450904
49.0,103.7663537,49.96306665,79.67964673,5359.305702,-127.3547203,-50.52428075,24.85157114
9.0,119.5369263,18.49723053,-0.693924606,2499.972656,-2.000952005,1.09691596,26.1548481
36.0,72.93624878,18.52495384,-9.475515366,1499.982544,-2.97981143,15.77315331,20.12891006
41.0,20.76046462,44.99360834,-30.26360909,499.9543766,-80.02281424,188.5255396,24.00647211
73.0,20.89646673,26.93699102,24.51753223,615.2775126,-39.77253797,-130.9543421,23.71358975
62.0,1.095648939,28.21550853,0.31900195,0.004750812,-2.000885146,1.097052949,24.14375716
4.0,24.50501823,18.80716705,0.272310346,499.987793,-2.00094986,1.097551465,26.12360191
18.0,8.143094063,18.35495949,-7.615725517,99.99910736,-79.9407196,188.4115906,23.01545906
14.0,72.41446686,18.66133881,-109.756012,2999.973877,-123.5681381,113.2225037,20.12964821
53.0,92.65050018,28.97717066,-19.57078515,1979.821758,-6.5921904,28.21856534,26.38450904
29.0,100.0702667,18.86553764,,,-140.2706451,35.56126785,22.35949898
9.0,119.4122696,18.65941811,-0.867873788,2499.974609,-2.001710176,1.09759438,25.60433578
18.0,8.115087509,18.51016045,-7.546072006,99.98802185,-79.94022369,188.4121857,23.60437584
14.0,131.993988,18.22068405,-2.069121122,2999.968018,-17.27057266,1.345183849,24.28141594
20.0,22.74766541,18.85803604,-128.7006531,5749.9375,-198.7044067,63.13144302,25.52523041
27.0,93.56853485,19.08329391,-92.44245148,2249.976807,-40.21438217,126.137085,25.31531525
8.0,63.11347961,18.30114937,-64.36333466,1499.991455,-43.51181412,132.6172638,23.6432476
32.0,98.1728363,17.21735001,-79.4723053,2249.987061,-33.03654861,108.23703,19.08149719
74.0,45.61101535,54.94395925,24.04693664,1091.525545,-12.79261326,-64.1141463,27.90972879
29.0,37.92473602,19.20499611,-18.79941368,794.9884033,-13.55458641,64.15299225,22.108881
6.0,87.5272522,49.26314163,-96.69121552,4999.942383,-134.7177124,53.79727554,25.5468998
72.0,-0.033060814,30.23524361,-0.819654569,0.002606696,-2.00021607,1.098345992,24.7670391
27.0,25.91490746,19.30749321,-127.89254,5849.943848,-191.8661652,59.8843956,24.81655121
13.0,13.69102192,18.18908501,-11.63770008,249.9756165,-43.51138687,132.6182251,23.01690292
,70.47510529,19.26167107,-110.9512787,2999.97168,-123.9992981,,21.54254341
30.0,30.91950798,18.60567474,-27.08978271,674.9950562,-39.0410347,120.303093,21.41190338
24.0,129.7389069,18.83456993,-8.133016586,5499.94043,-106.3732452,0.637010992,24.35254669
18.0,8.135457039,18.37491989,-7.60855341,100.0079803,-79.9407959,188.4123993,23.18722916
6.0,24.95829964,18.73088646,-12.8615284,499.9860229,-15.49423122,70.79404449,25.77075577
53.0,54.02011075,49.83803971,118.9794091,3878.760764,-151.6726803,-104.7892806,27.8111476
4.0,96.96994781,18.44775772,-0.598716855,1999.977783,-2.002123117,1.097660661,23.93910599
36.0,72.8783493,18.47148132,-9.546068192,1499.984863,-2.979875088,15.77399254,20.04562569
18.0,4.160250664,18.3694458,1.463891625,99.98725891,-2.001247406,1.098697543,22.45448303
53.0,26.58146202,28.86304335,-73.8936786,985.2730633,-144.2415975,271.2260578,26.38266171
13.0,13.66874981,18.30032921,-11.62874699,249.9765167,-43.51163864,132.6178436,23.05587769
10.0,61.12721634,18.5827713,-116.4148254,2445.24585,-127.7672195,154.7225647,19.85062027
3.0,4.170810699,18.37984657,1.459846139,100.0042343,-1.999602199,1.094624281,22.30917549
8.0,63.77576065,18.7490139,-63.73321915,1499.991455,-43.51307297,132.6175385,19.90426445
4.0,51.28185654,19.56211662,-121.0505753,1999.988281,-129.1678009,204.1350708,25.04858017
20.0,51.58137131,16.77523613,-120.8660049,3299.960449,-153.4929657,109.08284,27.12113762
59.0,58.55233086,81.48964234,-116.9335664,3816.033826,-147.4335283,90.47373527,26.35855557
69.0,-2.174527984,80.49129282,1.010611809,3.36e-06,-2.000665434,1.096344602,25.68862938
36.0,15.64744663,19.02067947,-2.135377884,300.0028381,-2.979938745,15.77317333,19.74200249
62.0,58.06523194,24.91695137,117.9036451,2283.85062,-102.7131554,-181.5806461,22.96458488
18.0,8.179319382,18.68851471,-7.620596886,99.99700165,-79.93998718,188.4126129,22.02718925
18.0,8.190065384,18.80463791,-7.608444214,100.0085602,-79.9413681,188.4111481,23.12194443
81.0,103.2731434,59.44818704,79.97364959,4176.095926,-98.79773564,-61.47223268,24.57617249
68.0,-2.246246244,44.7935243,0.487928178,-0.000175933,-2.001143099,1.096223318,27.97872461
3.0,4.176352978,18.78191566,1.449475169,99.984375,-2.000154495,1.098078728,22.17357635
55.0,92.09527018,34.60593827,-93.65652823,2434.165385,-54.13685501,116.880343,24.81905636
8.0,73.48760986,18.97493935,-0.262394547,1499.981812,-2.000433683,1.097303271,24.078619
24.0,129.8348541,19.21542168,-8.127640724,5499.945313,-106.0515137,0.648166299,24.5372963
70.0,-0.466526835,22.42843351,3.219477161,-0.009980402,-2.000450876,1.097769793,26.3716369
61.0,14.86209416,28.84120757,-30.12114376,389.406949,-129.4632715,251.5594985,26.92972705
20.0,93.70943451,18.42222023,-91.99791718,3499.968018,-105.2406845,77.11754608,21.45211983
64.0,115.7420297,29.51076605,59.61294211,2654.547318,-12.82852072,-63.55728631,24.94561748
45.0,107.2400557,86.07167536,-75.93753824,3499.972264,-74.88322543,61.17403278,24.83591239
,22.08875656,19.54245186,-128.8135986,5499.955078,-197.7311859,,19.85062027
